Code,name,full_address,address,County,State,ZIP,GEOID,latitude,longitude,rating,reviews,range,TotalPopulation,AsianPopulation,MedianHouseholdIncome,PublicTransportationCommuters,AsianDensity
134,Fortune Cooky Restaurant-Glen Burnie,"7978 Crain Hwy S, Glen Burnie, MD 21061",7978 Crain Hwy S,Glen Burnie,MD,21061,240037402051,39.1331667,-76.6400667,4.1,754,2,1432,27,43,74881,0.018854748
135,Sonny Lee's Hunan Taste,"750 Main St unit 104-a, Reisterstown, MD 21136",750 Main St unit 104-a,Reisterstown,MD,21136,240054044033,39.4512915,-76.8200471,4.6,648,2,2086,0,100,74296,0
136,Ja Kum Sung,"7523 Ritchie Hwy, Glen Burnie, MD 21061",7523 Ritchie Hwy,Glen Burnie,MD,21061,240037510002,39.1606044,-76.6202867,4.5,1150,2,1404,6,0,79336,0.004273505
137,Great Wall Chinese Carryout,"2735 Fallston Rd, Fallston, MD 21047",2735 Fallston Rd,Fallston,MD,21047,240253042014,39.5442111,-76.4725532,2.5,13,,1087,295,0,153668,0.27138916
138,The Orient Restaurant Bel Air,"15 N Main St, Bel Air, MD 21014",15 N Main St,Bel Air,MD,21014,240253038031,39.53706,-76.3497099,4.3,421,2,1735,0,0,54241,0
139,Zen 16 Sushi Cafe,"533Baltimore Pike, Bel Air, MD 21014",533Baltimore Pike,Bel Air,MD,21014,240253035013,39.5275311,-76.3510106,4,165,2,2561,148,0,77868,0.057789925
140,China Haste,"2464 Churchville Rd, Bel Air, MD 21015",2464 Churchville Rd,Bel Air,MD,21015,240253031021,39.5565498,-76.2713787,4.1,100,1,1941,27,0,149000,0.013910355
141,China Moon Chinese Restaurant,"1321 Riverside Pkwy # F4, Belcamp, MD 21017",1321 Riverside Pkwy # F4,Belcamp,MD,21017,240253017042,39.4788219,-76.2468868,2.7,75,1,1643,19,5,97755,0.011564212
142,Paul Chen Hong Kong Restaurant,"2426 N Charles St, Baltimore, MD 21218",2426 N Charles St,Baltimore,MD,21218,245101206002,39.3171091,-76.6172854,3.9,266,1,1044,43,200,34853,0.041187741
143,Peking House,"3606 S Hanover St, Baltimore, MD 21225",3606 S Hanover St,Baltimore,MD,21225,245102504013,39.2383263,-76.6098869,3.4,176,2,1055,10,25,47904,0.009478673
144,Hong Kong,"5008 Ritchie Hwy #3049, Baltimore, MD 21225",5008 Ritchie Hwy #3049,Baltimore,MD,21225,240037502041,39.2243023,-76.6138215,4,188,,2307,32,28,86168,0.013870828
145,China Wok,"5033 Ritchie Hwy, Brooklyn, MD 21225",5033 Ritchie Hwy,Brooklyn,MD,21225,240037501013,39.2241448,-76.6127042,4,312,1,516,66,23,47500,0.12790698
146,No. 1 Chinese Kitchen,"106 Reisterstown Rd, Pikesville, MD 21208",106 Reisterstown Rd,Pikesville,MD,21208,240054034024,39.3641539,-76.7136014,3.3,112,1,2192,0,17,80298,0
147,Chinatown Express,"3429 Dundalk Ave, Baltimore, MD 21222",3429 Dundalk Ave,Baltimore,MD,21222,240054211022,39.2491468,-76.5183455,3.8,159,1,1116,0,0,39435,0
148,New Taste of China,"1044 W Baltimore St, Baltimore, MD 21223",1044 W Baltimore St,Baltimore,MD,21223,245102806003,39.2888265,-76.6353049,3.7,160,1,974,0,59,,0
149,Asian Café,"2316 Belair Rd Ste D, Fallston, MD 21047",2316 Belair Rd Ste D,Fallston,MD,21047,240253034001,39.4930319,-76.393691,4.2,146,1,2870,342,0,146563,0.11916377
150,NO. 1 CHINESE KITCHEN,"3998 Roland Ave #414, Baltimore, MD 21211",3998 Roland Ave #414,Baltimore,MD,21211,245101307004,39.3370654,-76.6333316,4,166,1,593,8,58,45445,0.013490725
151,Oriental Wok Dundalk,"2113 Merritt Ave, Dundalk, MD 21222",2113 Merritt Ave,Dundalk,MD,21222,240054211011,39.2601972,-76.5116649,3.7,182,1,1509,44,0,50469,0.029158384
152,Chan's Chinese Restaurant,"6307 Sherwood Rd, Northwood, MD 21239",6307 Sherwood Rd,Northwood,MD,21239,240054911001,39.3725853,-76.5946968,3.5,129,1,1201,105,0,170347,0.087427147
153,Asian Taste,"5441 Belair Rd, Baltimore, MD 21206",5441 Belair Rd,Baltimore,MD,21206,245102601025,39.3391029,-76.5499269,3.8,242,1,1466,12,108,84464,0.008185539
154,Good Fortune Carry Out,"2202 E Monument St, Baltimore, MD 21205",2202 E Monument St,Baltimore,MD,21205,245100703001,39.2988573,-76.5864846,3.5,182,1,1120,1,57,48083,0.000892857
155,Dragon China,"6419 Frederick Rd #3504, Catonsville, MD 21228",6419 Frederick Rd #3504,Catonsville,MD,21228,240054002002,39.2751432,-76.7179193,3.6,150,1,1364,115,0,118292,0.084310852
156,No 1 Taste,"224 S Broadway, Baltimore, MD 21231",224 S Broadway,Baltimore,MD,21231,245100301001,39.2884949,-76.5939478,3,97,1,899,17,15,29417,0.0189099
157,China Garden Restaurant,"1027 Poplar Grove St, Baltimore, MD 21216",1027 Poplar Grove St,Baltimore,MD,21216,245101606002,39.3001735,-76.6649485,3.2,74,1,1020,0,198,39069,0
158,Golden City Restaurant,"7408 Windsor Mill Rd, Windsor Mill, MD 21244",7408 Windsor Mill Rd,Windsor Mill,MD,21244,240054023035,39.3412092,-76.7612629,3.6,213,1,1707,0,61,105290,0
159,Chin Xi'an Style Restaurant 秦张记,"Ste A10, 10045 Baltimore National Pike, Ellicott City, MD 21042","Ste A10, 10045 Baltimore National Pike",Ellicott City,MD,21042,240276023041,39.277698,-76.8593693,4.4,108,2,1287,225,0,178871,0.17482518
160,Great Taste Chinese Restaurant,"3444 Wilkens Ave, Baltimore, MD 21229",3444 Wilkens Ave,Baltimore,MD,21229,245102501031,39.2728172,-76.6757534,3.6,166,1,1474,0,0,20597,0
161,China Wok,"309 Augustine Herman Hwy, Elkton, MD 21921",309 Augustine Herman Hwy,Elkton,MD,21921,240150305051,39.5902349,-75.8260225,4.2,182,1,1881,26,35,98854,0.013822434
162,Asian Taste 2,"1715 Taylor Ave #6109, Parkville, MD 21234",1715 Taylor Ave #6109,Parkville,MD,21234,240054914021,39.3811527,-76.5597268,3.3,140,1,2118,6,0,83547,0.002832861
163,Number 1 Chinese,"3710 Eastern Ave, Baltimore, MD 21224",3710 Eastern Ave,Baltimore,MD,21224,245102609001,39.2869452,-76.5660998,2.8,81,1,961,39,34,105000,0.040582728
164,JiBeiChuan Noodle House 季北川花胶鸡米粉,"19520 Waters Rd Unit 5, Germantown, MD 20874",19520 Waters Rd Unit 5,Germantown,MD,20874,240317003103,39.1755285,-77.2734735,4.8,145,2,2229,510,31,93404,0.22880216
165,New Village,"11542 Middlebrook Road, Germantown, MD 20874",11542 Middlebrook Road,Germantown,MD,20874,240317008321,39.1794935,-77.2397251,3.5,131,,3166,188,84,95844,0.059380922
166,Beijing Palace Restaurant,"841 S Main St, Hampstead, MD 21074",841 S Main St,Hampstead,MD,21074,240135081034,39.5991042,-76.8473664,4.4,212,2,3256,60,0,81679,0.018427519
167,Uncle Ou's,"105 Beacon Rd, Baltimore, MD 21220",105 Beacon Rd,Baltimore,MD,21220,240054513002,39.3361992,-76.4557728,4.4,87,,1456,7,7,51738,0.004807693
168,Kuki Chinese Restaurant,"4888 Butler Rd, Glyndon, MD 21071",4888 Butler Rd,Glyndon,MD,21071,240054044021,39.4755771,-76.8201797,3.6,123,1,1168,0,22,117083,0
169,Spring Garden Carry Out,"2714 W Cold Spring Ln, Baltimore, MD 21215",2714 W Cold Spring Ln,Baltimore,MD,21215,245102716004,39.3393364,-76.6675421,3.9,130,1,1319,0,33,61620,0
170,Szechuan House,"2159-F York Rd, Timonium, MD 21093",2159-F York Rd,Timonium,MD,21093,240054085052,39.4443946,-76.6270563,3.9,759,1,1708,179,0,115000,0.10480094
171,Peking Court,"5421 Reisterstown Rd, Baltimore, MD 21215",5421 Reisterstown Rd,Baltimore,MD,21215,245102718013,39.34707909999999,-76.6888536,4.1,326,,1277,0,231,56490,0
172,China Moon Carry Out,"9 W Ridgely Rd, Timonium, MD 21093",9 W Ridgely Rd,Timonium,MD,21093,240054088001,39.4294254,-76.622187,4.4,444,1,1226,95,11,106833,0.077487767
173,Hunan Wok,"2835 Smith Ave J, Baltimore, MD 21209",2835 Smith Ave J,Baltimore,MD,21209,240054035002,39.3741569,-76.6910324,3.7,110,1,3219,232,60,67212,0.072072074
174,Best Chinese Carry Out,"5501 1/2 Reisterstown Rd, Baltimore, MD 21215",5501 1/2 Reisterstown Rd,Baltimore,MD,21215,245102719005,39.3478233,-76.6902162,3.9,76,1,518,0,0,57056,0
175,China Fun,"7206 York Rd, Baltimore, MD 21212",7206 York Rd,Baltimore,MD,21212,240054906021,39.3831368,-76.6077546,3.7,18,2,1288,130,21,142045,0.10093167
176,Yo Café,"1508 York Rd, Timonium, MD 21093",1508 York Rd,Timonium,MD,21093,240054088001,39.4211748,-76.6174885,4.4,78,2,1226,95,11,106833,0.077487767
177,PannTea,"527 York Rd, Towson, MD 21204",527 York Rd,Towson,MD,21204,240054903043,39.4012742,-76.6025261,4.3,6,2,1973,148,15,80046,0.075012669
178,Pimlico Chinese Carry Out,"5416 Park Heights Ave, Baltimore, MD 21215",5416 Park Heights Ave,Baltimore,MD,21215,245102718011,39.3508278,-76.6822281,3.9,380,1,415,0,23,,0
179,china star,"6717 Reisterstown Rd, Baltimore, MD 21215",6717 Reisterstown Rd,Baltimore,MD,21215,245102720072,39.3589609,-76.7054757,3.9,15,1,552,0,23,,0
180,China Wok,"6372York Rd, 6368 York Rd #123, Baltimore, MD 21212","6372York Rd, 6368 York Rd #123",Baltimore,MD,21212,240054906012,39.3733415,-76.6106507,3.7,122,1,1053,24,26,163750,0.022792023
181,Mandarin Taste,"6805 York Rd, Baltimore, MD 21212",6805 York Rd,Baltimore,MD,21212,240054911003,39.3779502,-76.6082198,3.3,72,,1357,138,38,166591,0.10169491
182,China Wok,"714 York Rd Suite 120, Towson, MD 21204",714 York Rd Suite 120,Towson,MD,21204,240054903043,39.4045257,-76.6052994,3.8,76,1,1973,148,15,80046,0.075012669
183,Wok A Holic,"825 Dulaney Valley Rd level 3, Towson, MD 21204",825 Dulaney Valley Rd level 3,Towson,MD,21204,240054909002,39.404584,-76.599374,4.6,10,1,1108,78,67,49545,0.070397109
184,David Chu's China Bistro,"7105 Reisterstown Rd, Baltimore, MD 21215",7105 Reisterstown Rd,Baltimore,MD,21215,245102720071,39.3635903,-76.7116881,4.5,740,2,1995,13,145,58774,0.006516291
185,China Fun,"7002 Reisterstown Rd, Baltimore, MD 21215",7002 Reisterstown Rd,Baltimore,MD,21215,245102801011,39.3623059,-76.7120515,3.6,21,1,1076,0,171,80104,0
186,Red Pepper Sichuan Bistro,"11 Allegheny Ave, Towson, MD 21204",11 Allegheny Ave,Towson,MD,21204,240054907031,39.4015249,-76.6031555,4.5,500,2,1351,223,59,90900,0.16506292
187,Wing Wah Restaurant,"509 Reisterstown Rd, Pikesville, MD 21208",509 Reisterstown Rd,Pikesville,MD,21208,240054034021,39.3684689,-76.7169062,4.2,189,,1570,0,89,68625,0
188,Charlies Chinese Food Carryout,"5206 Park Heights Ave, Baltimore, MD 21215",5206 Park Heights Ave,Baltimore,MD,21215,245102718011,39.3491052,-76.6764723,3.7,154,,415,0,23,,0
189,China Dragon Carry Out,"4900 Reisterstown Rd, Baltimore, MD 21215",4900 Reisterstown Rd,Baltimore,MD,21215,245102801013,39.34207809999999,-76.6781298,3.7,27,,699,0,9,55462,0
190,Jumbo Seafood Chinese Restaurant,"48 E Sudbrook Ln, Pikesville, MD 21208",48 E Sudbrook Ln,Pikesville,MD,21208,240054034021,39.3777425,-76.7197369,4.3,475,2,1570,0,89,68625,0
191,Towson Best,"527 York Rd, Towson, MD 21204",527 York Rd,Towson,MD,21204,240054903043,39.401274,-76.602526,3.7,421,1,1973,148,15,80046,0.075012669
192,Panda Express,"6514 Reisterstown Rd, Baltimore, MD 21215",6514 Reisterstown Rd,Baltimore,MD,21215,245102801012,39.3561235,-76.7031888,3.6,757,1,1299,0,132,46979,0
193,Sichuan Taste,"10 Scott Adam Rd, Cockeysville, MD 21030",10 Scott Adam Rd,Cockeysville,MD,21030,240054085031,39.4718464,-76.6389813,4.1,559,1,2259,490,12,87396,0.21691014
194,Bamboo House - Cajun Seafood & Chinese Restaurant,"3426 Annapolis Rd, Baltimore, MD 21227",3426 Annapolis Rd,Baltimore,MD,21227,240054301012,39.2480117,-76.6416737,3.7,235,1,2257,182,7,84566,0.080638014
195,KB Grill & Wok,"6309 Reisterstown Rd, Baltimore, MD 21215",6309 Reisterstown Rd,Baltimore,MD,21215,245102720062,39.355196,-76.70054,4.5,610,1,1433,77,269,34299,0.053733427
196,Sushi Hana,"6080 Falls Rd, Baltimore, MD 21209",6080 Falls Rd,Baltimore,MD,21209,240054905003,39.3736282,-76.6509257,4.2,335,2,1098,14,13,166350,0.012750455
197,Hunan Chef Restaurant,"2007 York Rd, Timonium, MD 21093",2007 York Rd,Timonium,MD,21093,240054086013,39.4365629,-76.6240664,3.2,59,,1277,101,0,124375,0.079091623
198,China Kitchen,"3007 Eastern Blvd B, Middle River, MD 21220",3007 Eastern Blvd B,Middle River,MD,21220,240054518023,39.3356563,-76.4096261,4.1,131,1,1705,61,0,39464,0.035777126
199,Asian Wok Restaurant,"12550 Eastern Ave, Middle River, MD 21220",12550 Eastern Ave,Middle River,MD,21220,240054518013,39.3619264,-76.3676648,4.3,72,1,2058,47,24,108884,0.022837706
200,NO.1 Chinese Restaurant,"145 Back River Neck Rd, Essex, MD 21221",145 Back River Neck Rd,Essex,MD,21221,240054508002,39.3092662,-76.4449287,3.2,57,1,2702,0,177,98041,0
201,Little China Restaurant,"2117 Eastern Blvd, Middle River, MD 21220",2117 Eastern Blvd,Middle River,MD,21220,240054515001,39.3285657,-76.4407057,4.3,849,1,2454,1,68,63542,0.000407498
202,China King Restaurant,"901 Middle River Rd, Baltimore, MD 21220",901 Middle River Rd,Baltimore,MD,21220,240054517012,39.3492431,-76.4501854,3.7,9,,1705,168,3,127740,0.098533727
203,Lucky Express II,"11550 Philadelphia Rd # 107, White Marsh, MD 21162",11550 Philadelphia Rd # 107,White Marsh,MD,21162,240054113021,39.4069189,-76.413971,4,77,1,3312,483,0,169583,0.14583333
204,Dai Kim Carryout,"332 Hospital Dr, Glen Burnie, MD 21061",332 Hospital Dr,Glen Burnie,MD,21061,240037305082,39.1425654,-76.6301865,4.1,206,1,1188,8,151,55675,0.006734007
205,House of Chang,"64 Watkins Park Dr, Upper Marlboro, MD 20774",64 Watkins Park Dr,Upper Marlboro,MD,20774,240338005211,38.8986111,-76.7902778,3.9,175,1,1165,0,0,122976,0
206,Lucky House Chinese Carry Out,"7557 Ritchie Hwy, Glen Burnie, MD 21061",7557 Ritchie Hwy,Glen Burnie,MD,21061,240037510002,39.1588574,-76.6185451,4.1,250,1,1404,6,0,79336,0.004273505
207,Tea Horse Sichuan Bistro 川知味,"8450 Baltimore National Pike #100, Ellicott City, MD 21043",8450 Baltimore National Pike #100,Ellicott City,MD,21043,240276026001,39.2860872,-76.8057223,4.4,264,2,1122,28,14,181757,0.024955437
208,Jacky Chan,"3225 Brinkley Rd, Temple Hills, MD 20748",3225 Brinkley Rd,Temple Hills,MD,20748,240338014081,38.8027905,-76.9531289,4.2,141,2,1596,28,145,76127,0.01754386
209,First Choice Chinese Food,"11203 York Rd, Cockeysville, MD 21030",11203 York Rd,Cockeysville,MD,21030,240054089002,39.49241749999999,-76.6479091,3.8,163,1,1374,58,0,178527,0.04221252
210,Szechuan Garden Restaurant,"11149 Mall Cir, Waldorf, MD 20603",11149 Mall Cir,Waldorf,MD,20603,240178507061,38.6154757,-76.9301309,4.2,882,2,1693,136,42,147059,0.080330774
211,Eddy's Carry Out,"10216 Lake Arbor Way, Mitchellville, MD 20721",10216 Lake Arbor Way,Mitchellville,MD,20721,240338035141,38.90607869999999,-76.8290629,4.4,360,1,1969,29,11,118712,0.014728288
212,Chopstixx Cafe,"7260 Montgomery Rd D, Elkridge, MD 21075",7260 Montgomery Rd D,Elkridge,MD,21075,240276012053,39.20777229999999,-76.7290302,4.2,415,2,1355,50,29,75486,0.036900368
213,Peter's Carryout,"87 Kettering Dr, Upper Marlboro, MD 20774",87 Kettering Dr,Upper Marlboro,MD,20774,240338035262,38.8903976,-76.8091919,4,164,1,1218,0,84,99500,0
214,Asian Star Restaurants,"12758 Old Fort Rd, Fort Washington, MD 20744",12758 Old Fort Rd,Fort Washington,MD,20744,240338013121,38.7119098,-76.9875131,4.2,103,,1345,154,46,118268,0.11449814
215,Forbidden City Chinese Restaurant,"250 Englar Rd, Westminster, MD 21157",250 Englar Rd,Westminster,MD,21157,240135076012,39.5834368,-76.9916485,4.2,733,2,2602,29,0,120938,0.011145273
216,Edorrito Asian Bistro,"5203 Campbell Blvd, Nottingham, MD 21236",5203 Campbell Blvd,Nottingham,MD,21236,240054407021,39.3692577,-76.454619,4.5,689,2,2111,526,19,96111,0.249171
217,Fast Wok,"12186 Clarksville Pike #16, Clarksville, MD 21029",12186 Clarksville Pike #16,Clarksville,MD,21029,240276051041,39.2132575,-76.936597,3.6,91,1,3975,1498,38,250001,0.37685534
218,DING HOW INN,"12236 Tullamore Rd, Timonium, MD 21093",12236 Tullamore Rd,Timonium,MD,21093,240054083043,39.4583207,-76.6647913,3.8,126,1,887,0,47,67125,0
219,Pei Wei,"114 Shawan Rd # 8, Cockeysville, MD 21030",114 Shawan Rd # 8,Cockeysville,MD,21030,240054084001,39.49688,-76.654984,3.8,56,2,1290,108,10,91731,0.08372093
220,Fortune House,"6, 7804, 801 Compass Way, Annapolis, MD 21401","6, 7804, 801 Compass Way",Annapolis,MD,21401,240037516003,38.9758626,-76.589035,3.9,83,2,1531,0,0,88618,0
221,Szechuan Inn,"550-558 Benfield Rd, Severna Park, MD 21146",550-558 Benfield Rd,Severna Park,MD,21146,240037306062,39.0829742,-76.582446,4.3,256,2,1951,0,50,153929,0
222,Grace Garden,"1690 Annapolis Rd, Odenton, MD 21113",1690 Annapolis Rd,Odenton,MD,21113,240037403051,39.1092267,-76.7236617,4.2,305,2,1471,28,57,80903,0.019034671
223,Dragon House Chinese Restaurant,"101 Mayo Rd, Edgewater, MD 21037",101 Mayo Rd,Edgewater,MD,21037,240037011031,38.9360244,-76.5589304,4,111,,1919,0,119,116029,0
224,Hong Kong Express,"11 Lee Airpark Dr, Edgewater, MD 21037",11 Lee Airpark Dr,Edgewater,MD,21037,240037011012,38.9436372,-76.5637858,4,144,1,2729,9,5,131713,0.003297911
225,Hunan Garden,"15712 Mt Oak Rd, Bowie, MD 20716",15712 Mt Oak Rd,Bowie,MD,20716,240338005192,38.92618,-76.732201,3.8,161,1,1024,0,50,163409,0
226,East Delight,"6818 Race Track Rd, Bowie, MD 20715",6818 Race Track Rd,Bowie,MD,20715,240338004024,38.9820947,-76.7300583,3.8,164,1,1172,0,47,128015,0
227,Hunan Delight,"3329 Superior Ln, Bowie, MD 20715",3329 Superior Ln,Bowie,MD,20715,240338005042,38.9794187,-76.732863,3.9,85,,1329,170,6,143362,0.12791573
228,Goodies Cafe,"1641 State Route 3 N, Suite 108, Crofton, MD 21114","1641 State Route 3 N, Suite 108",Crofton,MD,21114,240037022042,38.9931109,-76.701833,4.4,358,2,2700,114,35,132000,0.04222222
229,Hunan Express,"1153 MD-3 N, Gambrills, MD 21054",1153 MD-3 N,Gambrills,MD,21054,240037022092,39.020697,-76.693172,3.7,170,2,1304,83,6,170288,0.06365031
230,Panda Express,"1060 Crain Hwy #100, Crofton, MD 21114",1060 Crain Hwy #100,Crofton,MD,21114,240037304013,39.027546,-76.6881274,3.1,129,1,2403,261,93,114923,0.10861423
231,Lee Deli,"5672 Annapolis Rd, Bladensburg, MD 20710",5672 Annapolis Rd,Bladensburg,MD,20710,240338040021,38.9404577,-76.918443,4.2,153,1,1939,8,96,84390,0.004125838
232,China City,"4918 Annapolis Rd, Bladensburg, MD 20710",4918 Annapolis Rd,Bladensburg,MD,20710,240338040022,38.9402301,-76.9333417,3.7,73,1,2849,0,157,58442,0
233,Yum Chen,"6729 Annapolis Rd, Hyattsville, MD 20784",6729 Annapolis Rd,Hyattsville,MD,20784,240338041023,38.9427801,-76.9009642,4.4,131,,1943,0,11,50978,0
234,Golden China,"5461 Annapolis Rd, Bladensburg, MD 20710",5461 Annapolis Rd,Bladensburg,MD,20710,240338043001,38.9386385,-76.9225545,3,42,1,1208,67,20,67883,0.055463575
235,New Win Long Chinese Restaurant,"1912 Liberty Rd, Eldersburg, MD 21784",1912 Liberty Rd,Eldersburg,MD,21784,240135051022,39.398264,-76.927997,3.9,138,1,2588,169,0,162760,0.065301389
236,China wok,"1438 Liberty Rd #7, Sykesville, MD 21784",1438 Liberty Rd #7,Sykesville,MD,21784,240135051021,39.403115,-76.943165,4.1,82,1,1968,65,0,158958,0.033028454
237,Hunan Family,"10451 Twin Rivers Rd #101-A, Columbia, MD 21044",10451 Twin Rivers Rd #101-A,Columbia,MD,21044,240276054031,39.2194671,-76.8742065,3.2,58,2,1790,7,15,106146,0.003910615
238,Hunan Diamond,"5485 Harpers Farm Rd, Columbia, MD 21044",5485 Harpers Farm Rd,Columbia,MD,21044,240276055033,39.2222152,-76.8893721,4,158,1,1758,453,28,98983,0.25767919
239,Peking Chef,"6420 Freetown Rd, Columbia, MD 21044",6420 Freetown Rd,Columbia,MD,21044,240276056022,39.1947502,-76.8832509,3.6,155,2,3080,785,75,197334,0.25487012
240,Fast Wok,"9150 Baltimore National Pike, Ellicott City, MD 21042",9150 Baltimore National Pike,Ellicott City,MD,21042,240276022024,39.2781944,-76.826934,4,113,1,1413,284,0,223000,0.2009908
241,Hunan Legend,"4725 Dorsey Hall Dr, Ellicott City, MD 21042",4725 Dorsey Hall Dr,Ellicott City,MD,21042,240276023063,39.2427633,-76.8425276,4,244,2,1521,171,0,84355,0.11242604
242,China Taste,"10030 Baltimore National Pike, Ellicott City, MD 21042",10030 Baltimore National Pike,Ellicott City,MD,21042,240276022022,39.2814753,-76.8560453,4.4,312,1,1507,318,0,192500,0.21101527
243,Asian Court,"11105 Resort Road, Ellicott City, MD 21042",11105 Resort Road,Ellicott City,MD,21042,240276030042,39.2993978,-76.8973296,3.9,760,2,4663,1860,0,174962,0.39888483
244,Pepper House,"10176 Baltimore National Pike STE 105, Ellicott City, MD 21042",10176 Baltimore National Pike STE 105,Ellicott City,MD,21042,240276022012,39.2803848,-76.8634851,4.8,366,2,2698,998,0,201146,0.36990362
245,Mayflower VI Chinese Food,"10750 Hickory Ridge Rd #115, Columbia, MD 21044",10750 Hickory Ridge Rd #115,Columbia,MD,21044,240276056023,39.2114369,-76.8845719,3,133,2,1030,67,51,79396,0.065048546
246,Paper Lantern Asian Grill & Sushi,"2020 Marriottsville Rd STE G, Marriottsville, MD 21104",2020 Marriottsville Rd STE G,Marriottsville,MD,21104,240276030013,39.316291,-76.899678,4.4,366,2,2634,333,10,164219,0.12642369
247,Hanjoongkwan,"9338 Baltimore National Pike, Ellicott City, MD 21042",9338 Baltimore National Pike,Ellicott City,MD,21042,240276022023,39.2780361,-76.8337452,4.2,467,2,1758,1075,0,88958,0.61149031
248,Asian Palace,"10801 Hickory Ridge Rd, Columbia, MD 21044",10801 Hickory Ridge Rd,Columbia,MD,21044,240276056012,39.2096111,-76.8855639,4.1,341,2,3022,179,44,148634,0.059232298
249,Hot Pot Hero Ellicott City,"10045 Baltimore National Pike Ste A4, Ellicott City, MD 21042",10045 Baltimore National Pike Ste A4,Ellicott City,MD,21042,240276023041,39.2776089,-76.8588662,4.5,1277,2,1287,225,0,178871,0.17482518
250,China Express,"3671 Bladensburg Rd, Brentwood, MD 20722",3671 Bladensburg Rd,Brentwood,MD,20722,240338044001,38.93425209999999,-76.9508044,3.4,121,1,1516,116,87,91250,0.07651715
251,Katana Sushi,"6343 Ten Oaks Rd, Clarksville, MD 21029",6343 Ten Oaks Rd,Clarksville,MD,21029,240276051031,39.2065326,-76.9453368,4.5,341,2,2302,282,13,219940,0.12250217
252,China Dragon,"6300 Georgetown Blvd # 109, Sykesville, MD 21784",6300 Georgetown Blvd # 109,Sykesville,MD,21784,240135052031,39.4010674,-76.9463428,4.3,148,1,1134,74,0,115625,0.065255731
253,China Village,"4882 Montgomery Rd, Ellicott City, MD 21043",4882 Montgomery Rd,Ellicott City,MD,21043,240276023024,39.2366772,-76.799399,4.1,210,1,2463,505,17,186089,0.20503451
254,Hot N Roll Hot Pot,"8801 Baltimore National Pike Ste C, Ellicott City, MD 21043",8801 Baltimore National Pike Ste C,Ellicott City,MD,21043,240276028001,39.2774502,-76.8174433,4.7,76,1,2020,724,0,97500,0.35841584
255,East Moon Asian Bistro,"5725 Richards Valley Rd, Ellicott City, MD 21043",5725 Richards Valley Rd,Ellicott City,MD,21043,240276011051,39.2145299,-76.8022361,4.3,715,2,3190,606,108,125364,0.18996865
256,Panda Express,"5860 Baltimore National Pike A, Catonsville, MD 21228",5860 Baltimore National Pike A,Catonsville,MD,21228,240054011011,39.2875255,-76.7360995,3.8,610,1,1316,149,138,,0.11322188
257,Dimsum Palace,"6600 Baltimore National Pike Ste O, Baltimore, MD 21228",6600 Baltimore National Pike Ste O,Baltimore,MD,21228,240054015043,39.2876438,-76.7646968,4.3,271,2,1794,219,0,119038,0.12207358
258,Hunan Joy,"829 Edmondson Ave, Catonsville, MD 21228",829 Edmondson Ave,Catonsville,MD,21228,240054010001,39.2762081,-76.739007,4.4,397,1,1064,59,2,73026,0.055451129
259,The Hub Asian Food Hall,"6510 Baltimore National Pike Ste 5C, Catonsville, MD 21228",6510 Baltimore National Pike Ste 5C,Catonsville,MD,21228,240054015043,39.2870166,-76.761989,4.3,419,2,1794,219,0,119038,0.12207358
260,Yum's Express,"4746 Cherry Hill Rd, College Park, MD 20740",4746 Cherry Hill Rd,College Park,MD,20740,240338073011,39.0154708,-76.9281366,3.8,218,1,2165,337,207,68638,0.1556582
261,Eastern Gourmet 海纳百川,"8150 Baltimore Ave STE D, College Park, MD 20740",8150 Baltimore Ave STE D,College Park,MD,20740,240338070005,38.9911675,-76.934039,4.3,137,2,3121,864,130,,0.27683434
262,Eddie's Cafe,"9823 Rhode Island Ave, College Park, MD 20740",9823 Rhode Island Ave,College Park,MD,20740,240338069001,39.0144098,-76.9198368,4,134,1,2217,264,168,124545,0.11907984
263,Panda Express,"7316 Baltimore Ave, College Park, MD 20740",7316 Baltimore Ave,College Park,MD,20740,240339800001,38.9800445,-76.9388225,3.4,202,1,14109,1612,399,23661,0.11425331
264,Shanghai Cafe,"7409 Baltimore Ave, College Park, MD 20740",7409 Baltimore Ave,College Park,MD,20740,240339800001,38.9811206,-76.9376812,3.7,85,1,14109,1612,399,23661,0.11425331
265,Asian Restaurant,"5401 Kenilworth Ave B, Riverdale, MD 20737",5401 Kenilworth Ave B,Riverdale,MD,20737,240338066013,38.9553709,-76.9223294,4,100,2,2514,0,79,,0
266,Golden China Restaurant,"5908 40th Ave, Hyattsville, MD 20782",5908 40th Ave,Hyattsville,MD,20782,240338061001,38.9599612,-76.9499125,3.5,173,1,1836,69,145,153000,0.037581701
267,New Century Carry Out & Rest,"5400 Queens Chapel Rd, Hyattsville, MD 20782",5400 Queens Chapel Rd,Hyattsville,MD,20782,240338060003,38.9561552,-76.9621992,4.5,356,1,1452,75,111,51250,0.051652893
268,Hunan China,"9234 Springhill Ln, Greenbelt, MD 20770",9234 Springhill Ln,Greenbelt,MD,20770,240338067141,39.0050097,-76.9030637,3.3,212,1,2778,32,150,49961,0.011519078
269,Blaq Dragon,"5915 Central Ave, Capitol Heights, MD 20743",5915 Central Ave,Capitol Heights,MD,20743,240338027003,38.8853592,-76.917872,4.1,35,,703,0,20,82813,0
